age;year;rank;ICD-2_code;underlying_cause;total_N;percentage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1935;3;145a;Puerperal septicaemia and pyaemia not returned as post-abortion;139;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1935;4;108;Lobar pneumonia;109;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1935;5;186;Accidental injury by fall, crushing, etc.;107;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1935;6;91(1);Malignant endocarditis;99;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1935;7;131;Chronic nephritis;89;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1935;8;92(5);Other or unspecified valve disease;79;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1935;9;146;Puerperal albuminuria and convulsions;67;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1935;9;56;Rheumatic fever;67;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1945;1;13b;Tb. of the resp. system without mention of occupational disease of lung;1.456;46,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1945;2;92b(1);Mitral valve disease;93;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1945;3;197;Deaths of civilians due to operations of war;75;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1945;4;14;Tuberculosis of the meninges and central nervous system;58;1,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1945;5;92b(2);Other specified valvular diseases (inc. sequelae of rheumatic fever);51;1,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1945;6;85;Epilepsy;49;1,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1945;7;131c;Chronic nephritis not otherwise specified;48;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1945;8;91ab;Acute or sub-acute bacterial endocarditis;37;1,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1945;9;170c;Other motor vehicle accidents;36;1,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1945;10;107(2);Broncho-pneumonia without mention of influenza;35;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1955;1;2;Pulmonary tuberculosis;78;10,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1955;2;410;Diseases of mitral valve;37;4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1955;3;592;Chronic nephritis;30;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1955;4;330;Subarachnoid haemorrhage;25;3,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1955;5;241;Asthma;24;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1955;6;815;Motor vehicle traffic accident to rider or passenger of motorcycle in collison with other motor vehicle;20;2,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1955;7;204;Leukaemia and aleukaemia;19;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1955;7;972;Suicide and self-inflicted poisoning by gases in domestic use;19;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1955;9;754;Congenital malformations of circulatory system;18;2,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1955;10;353;Epilepsy;16;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1965;1;816;Other motor vehicle traffic accident involving two or more motor vehicles;60;8,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1965;2;241;Asthma;46;6,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1965;3;970;Suicide and self-inflicted poisoning by analgesic and soporific substances;30;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1965;4;204;Leukaemia and aleukaemia;28;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1965;5;823;Motor vehicle traffic accident involving running off roadway;22;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1965;6;353;Epilepsy;20;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1965;7;754;Congenital malformations of circulatory system;19;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1965;7;201;Hodgkin's disease;19;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1965;9;330;Subarachnoid haemorrhage;17;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1965;10;815;Motor vehicle traffic accident to rider or passenger of motorcycle in collison with other motor vehicle;14;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1975;1;812;Motor vehicle traffic accident involving collision with another motor vehicle;50;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1975;2;950;Suicide and self inflicted poisoning by solid or liquid substances;36;5,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1975;3;345;Epilepsy;32;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1975;4;201;Hodgkin's disease;21;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1975;5;980;Poisoning by solid or liquid substances, undetermined whether accidental or purposely inflicted;20;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1975;6;205;Myeloid leukaemia;18;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1975;7;485;Bronchopneumonia, unspecified;17;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1975;8;746;Congenital anomalies of heart;16;2,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1975;8;816;Non-collision motor vehicle traffic accident due to loss of control;16;2,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1975;10;734;Diffuse diseases of connective tissue;14;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1975;10;191;Malignant neoplasm of brain;14;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1975;10;814;Motor vehicle traffic accident involving collision with pedestrian;14;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1985;1;812;Other motor vehicle traffic accident involving collision with another motor vehicle;60;9,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1985;2;493;Asthma;24;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1985;3;205;Myeloid leukaemia;23;3,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1985;4;816;Motor vehicle traffic accident due to loss of control, without collision on the highway;22;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1985;4;815;Other motor vehicle traffic accident involving collision on the highway;22;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1985;6;345;Epilepsy;21;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1985;7;814;Motor vehicle traffic accident involving collision with pedestrian;20;3,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1985;8;950;Suicide and selfinflicted poisoning by solid or liquid substances;17;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1985;9;988;Injury by other or unspecified means, undetermined whether accidentally or purposely inflicted;16;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1985;10;201;Hodgkin's disease;15;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1995;1;812;Other motor vehicle traffic accident involving collision with another motor vehicle;35;6,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1995;2;345;Epilepsy;30;5,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1995;3;988;Injury by other or unspecified means, undetermined whether accidentally or purposely inflicted;22;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1995;4;980;Poisoning by solid or liquid substances, undetermined whether accidentally or purposely inflicted;17;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1995;4;950;Suicide and selfinflicted poisoning by solid or liquid substances;17;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1995;6;819;Motor vehicle traffic accident of unspecified nature;15;2,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1995;7;850;Accidental poisoning by analgesics, antipyretics, antirheumatics;13;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1995;7;205;Myeloid leukaemia;13;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1995;9;968;Assault by other and unspecified means;12;2,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;1995;10;814;Motor vehicle traffic accident involving collision with pedestrian;11;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;2005;1;G40;Epilepsy;23;4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;2005;2;X70;Intentional self-harm by hanging strangulation and suffocation;16;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;2005;3;V49;Car occupant injured in other and unspecified transport accidents;13;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;2005;4;V47;Car occupant injured in collision with fixed or stationary object;12;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;2005;5;C92;Myeloid leukemia;11;2,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;2005;6;Y20;Hanging strangulation and suffocation undetermined intent;10;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;2005;7;X42;Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens] not elsewhere classified;9;1,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;2005;7;G80;Cerebral palsy;9;1,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;2005;7;E84;Cystic fibrosis;9;1,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;2005;7;Y33;Other specified events undetermined intent;9;1,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;2015;1;X70;Intentional self-harm by hanging strangulation and suffocation;32;8,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;2015;2;X42;Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens] not elsewhere classified;14;3,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;2015;3;G40;Epilepsy;13;3,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;2015;4;J18;Pneumonia organism unspecified;11;2,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;2015;5;E84;Cystic fibrosis;10;2,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;2015;6;Y20;Hanging strangulation and suffocation undetermined intent;9;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;2015;6;C49;Malignant neoplasm of other connective and soft tissue;9;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;2015;8;U50;Coroner's verdict pending;8;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;2015;8;W76;Other accidental hanging and strangulation;8;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;2015;10;V49;Car occupant injured in other and unspecified transport accidents;6;1,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;2015;10;X81;Intentional self-harm by jumping or lying before moving object;6;1,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;2015;10;C71;Malignant neoplasm of brain;6;1,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24 years;2015;10;C56;Malignant neoplasm of ovary;6;1,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1915;1;28A;Pulmonary tuberculosis;1.318;21,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1915;2;28B;Phthisis (not def. as t.b.);688;11,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1915;3;79A;Valvular disease;349;5,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1915;4;137;Puerperal fever;314;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1915;5;92A;Lobar pneumonia;190;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1915;6;79C;Other organic disease of heart;179;2,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1915;7;29A;Acute phthisis;163;2,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1915;8;92B;Pneumonia (type not stated);153;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1915;9;10;Influenza;119;1,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1915;10;69;Epilepsy;99;1,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1925;1;31;Tuberculosis of the respiratory system;2.070;37,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1925;2;146;Puerperal sepsis;301;5,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1925;3;90(2);Mitral valve disease;154;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1925;4;101a;Lobar pneumonia;147;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1925;5;148;Puerperal albuminuria and convulsions;133;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1925;6;129;Chronic nephritis (including unspecified over 10 years of age);101;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1925;7;90(4);Other or unspecified valve disease;100;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1925;8;11a(1);Influenza with pulmonary and pneumonic complications;86;1,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1925;9;117;Appendicitis;80;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1925;10;78;Epilepsy;74;1,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1935;1;23;Tuberculosis of the respiratory system;1.676;34,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1935;2;145a;Puerperal septicaemia and pyaemia not returned as post-abortion;204;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1935;3;92(2);Mitral valve disease;179;3,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1935;4;131;Chronic nephritis;132;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1935;5;108;Lobar pneumonia;109;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1935;6;149;Other accidents of childbirth;96;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1935;7;92(5);Other or unspecified valve disease;94;1,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1935;8;146;Puerperal albuminuria and convulsions;91;1,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1935;9;186;Accidental injury by fall, crushing, etc.;90;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1935;10;91(1);Malignant endocarditis;81;1,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1945;1;13b;Tb. of the resp. system without mention of occupational disease of lung;1.175;37,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1945;2;92b(1);Mitral valve disease;127;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1945;3;197;Deaths of civilians due to operations of war;74;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1945;4;92b(2);Other specified valvular diseases (inc. sequelae of rheumatic fever);46;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1945;5;107(2);Broncho-pneumonia without mention of influenza;45;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1945;6;91ab;Acute or sub-acute bacterial endocarditis;39;1,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1945;6;131c;Chronic nephritis not otherwise specified;39;1,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1945;6;170c;Other motor vehicle accidents;39;1,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1945;9;85;Epilepsy;37;1,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1945;10;108(2);Lobar pneumonia without mention of influenza;36;1,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1955;1;2;Pulmonary tuberculosis;161;13,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1955;2;410;Diseases of mitral valve;84;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1955;3;972;Suicide and self-inflicted poisoning by gases in domestic use;37;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1955;4;330;Subarachnoid haemorrhage;35;2,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1955;5;592;Chronic nephritis;33;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1955;6;204;Leukaemia and aleukaemia;28;2,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1955;7;241;Asthma;25;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1955;8;491;Bronchopneumonia;24;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1955;9;353;Epilepsy;23;1,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1955;9;170;Malignant neoplasm of breast;23;1,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1965;1;970;Suicide and self-inflicted poisoning by analgesic and soporific substances;48;5,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1965;2;241;Asthma;42;4,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1965;3;170;Malignant neoplasm of breast;33;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1965;3;816;Other motor vehicle traffic accident involving two or more motor vehicles;33;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1965;3;972;Suicide and self-inflicted poisoning by gases in domestic use;33;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1965;6;204;Leukaemia and aleukaemia;27;3,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1965;7;353;Epilepsy;26;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1965;8;201;Hodgkin's disease;23;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1965;9;410;Diseases of mitral valve;22;2,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1965;10;491;Bronchopneumonia;21;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1975;1;950;Suicide and self inflicted poisoning by solid or liquid substances;59;6,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1975;2;174;Malignant neoplasm of breast;38;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1975;3;812;Motor vehicle traffic accident involving collision with another motor vehicle;30;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1975;4;430;Subarachnoid haemorrhage;27;2,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1975;5;345;Epilepsy;24;2,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1975;6;485;Bronchopneumonia, unspecified;23;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1975;7;191;Malignant neoplasm of brain;22;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1975;7;180;Malignant neoplasm of cervix uteri;22;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1975;7;205;Myeloid leukaemia;22;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1975;10;980;Poisoning by solid or liquid substances, undetermined whether accidental or purposely inflicted;20;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1985;1;180;Malignant neoplasm of cervix uteri;35;5,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1985;2;430;Subarachnoid haemorrhage;33;5,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1985;3;174;Malignant neoplasm of female breast;29;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1985;4;345;Epilepsy;25;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1985;5;812;Other motor vehicle traffic accident involving collision with another motor vehicle;22;3,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1985;6;950;Suicide and selfinflicted poisoning by solid or liquid substances;18;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1985;7;191;Malignant neoplasm of brain;17;2,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1985;8;493;Asthma;16;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1985;9;205;Myeloid leukaemia;13;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1985;10;988;Injury by other or unspecified means, undetermined whether accidentally or purposely inflicted;12;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1985;10;814;Motor vehicle traffic accident involving collision with pedestrian;12;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1995;1;180;Malignant neoplasm of cervix uteri;28;3,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1995;1;174;Malignant neoplasm of female breast;28;3,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1995;3;345;Epilepsy;27;3,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1995;4;980;Poisoning by solid or liquid substances, undetermined whether accidentally or purposely inflicted;25;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1995;4;950;Suicide and selfinflicted poisoning by solid or liquid substances;25;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1995;6;812;Other motor vehicle traffic accident involving collision with another motor vehicle;24;3,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1995;7;988;Injury by other or unspecified means, undetermined whether accidentally or purposely inflicted;22;2,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1995;8;485;Bronchopneumonia, organism unspecified;19;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1995;8;430;Subarachnoid haemorrhage;19;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;1995;10;171;Malignant neoplasm of connective and other soft tissue;15;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;2005;1;X70;Intentional self-harm by hanging strangulation and suffocation;38;6,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;2005;2;G40;Epilepsy;30;5,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;2005;3;Y33;Other specified events undetermined intent;16;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;2005;4;C53;Malignant neoplasm of cervix uteri;14;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;2005;5;V49;Car occupant injured in other and unspecified transport accidents;13;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;2005;5;C92;Myeloid leukemia;13;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;2005;7;K70;Alcoholic liver disease;12;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-29 years;2005;7;C50;Malignant neoplasm of breast;12;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
